"cost" "thr" "target.size" "theta" "h2" "Ne" "mu" "rho" "b" "gamma" "env.sd" "norm.prev"
"159" 0.67 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00809188464344279
"160" 0.7 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00769876721419716
"161" 0.73 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00734058857116926
"162" 0.76 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00701295887026498
"163" 0.79 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00671218828828157
"164" 0.82 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00643515351660273
"165" 0.85 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.0061791935868013
"166" 0.88 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00594202779282849
"167" 0.91 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00572169044121429
"168" 0.94 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00551647854657578
"169" 0.97 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00532490957909015
"170" 1 2197.38852611864 1e+05 0.004 0.5 1000 1e-06 0.0109869426305932 0.978026114738814 4.5 17.5694359453035 0.00514568708547314
"171" 0.01 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 NA
"172" 0.04 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 NA
"173" 0.07 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.152694149225733
"174" 0.1 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0920715303181694
"175" 0.13 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0651639543659958
"176" 0.16 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0500523986688461
"177" 0.19 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0404289314160663
"178" 0.22 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.033791271804991
"179" 0.25 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0289515950553357
"180" 0.28 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.025275245234032
"181" 0.31 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0223931292577151
"182" 0.34 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0200763950184855
"183" 0.37 814.027543179226 1e+05 0.004 0.5 1000 1e-06 0.00407013771589613 0.991859724568208 5.5 31.2808380507575 0.0181758308708317
